total_num_hired,total_num_left,total_num_promoted,org_saturation_day,vp_team_size_skew,director_team_size_skew,manager_team_size_skew,mean_days_between_hires,mean_days_between_promotions,mean_days_between_leavings,seed,weight_employed,weight_promoted,weight_change,weight_left,min_employees_for_leaving,min_events_per_week,max_events_per_day,max_events_per_type
160,61,106,187,3.0,1.667,1.0,2.29,3.29,5.58,6,3,2,1,1,10,1,7,2
164,64,102,152,3.333,2.7,1.233,2.23,3.4,5.41,7,3,2,1,1,10,1,7,2
164,64,83,146,1.111,2.0,1.933,2.15,4.09,5.41,8,3,2,1,1,10,1,7,2
174,74,118,217,1.111,2.8,1.464,2.1,2.97,4.82,9,3,2,1,1,10,1,7,2
168,68,98,183,3.333,2.6,1.769,2.16,3.42,5.15,10,3,2,1,1,10,1,7,2
168,68,124,201,1.667,2.16,1.267,2.17,2.82,5.21,11,3,2,1,1,10,1,7,2
177,78,96,177,1.111,1.6,2.929,2.07,3.66,4.56,12,3,2,1,1,10,1,7,2
165,65,106,160,3.333,1.267,3.333,2.22,3.19,5.47,13,3,2,1,1,10,1,7,2
172,74,128,193,1.0,1.556,1.133,2.13,2.67,4.77,14,3,2,1,1,10,1,7,2
167,67,100,168,1.667,2.0,3.067,2.19,3.53,5.36,15,3,2,1,1,10,1,7,2
164,64,99,150,0.833,2.0,3.533,2.23,2.95,5.62,16,3,2,1,1,10,1,7,2
164,64,112,169,0.833,2.1,1.867,2.23,2.94,5.57,17,3,2,1,1,10,1,7,2
152,52,103,181,0.833,3.8,1.967,2.37,3.34,6.75,18,3,2,1,1,10,1,7,2
171,75,100,149,1.667,0.0,2.929,2.09,3.54,4.69,19,3,2,1,1,10,1,7,2
171,71,114,138,1.667,0.0,3.4,2.14,3.08,4.94,0,3,2,1,1,10,1,7,3
184,85,113,187,1.667,2.15,1.067,1.94,2.94,4.0,1,3,2,1,1,10,1,7,3
173,73,113,168,3.333,1.667,1.467,2.12,3.12,4.86,2,3,2,1,1,10,1,7,3
155,55,92,154,1.667,4.2,1.867,2.36,3.88,6.46,3,3,2,1,1,10,1,7,3
143,44,94,164,3.333,2.3,0.8,2.33,3.8,7.86,4,3,2,1,1,10,1,7,3
166,66,92,158,3.333,0.0,1.933,2.12,3.65,5.12,5,3,2,1,1,10,1,7,3
175,75,130,229,1.667,2.5,1.667,2.05,2.74,4.73,6,3,2,1,1,10,1,7,3
172,72,114,191,0.833,3.6,1.467,2.13,3.06,5.01,7,3,2,1,1,10,1,7,3
170,70,114,198,1.667,1.267,1.033,2.12,2.9,4.96,8,3,2,1,1,10,1,7,3
165,65,95,152,1.667,1.6,1.244,2.2,3.74,5.39,9,3,2,1,1,10,1,7,3
152,52,86,131,1.111,1.333,3.2,2.28,3.92,5.98,10,3,2,1,1,10,1,7,3
145,45,81,122,0.833,1.267,1.333,2.46,4.24,7.66,11,3,2,1,1,10,1,7,3
185,85,147,215,3.333,2.2,3.133,1.95,2.31,4.12,12,3,2,1,1,10,1,7,3
171,71,113,179,3.333,1.55,3.0,2.13,3.11,5.06,13,3,2,1,1,10,1,7,3
168,68,100,182,3.333,2.2,1.867,2.13,3.39,5.06,14,3,2,1,1,10,1,7,3
158,58,102,151,1.111,3.5,0.967,2.24,3.36,5.84,15,3,2,1,1,10,1,7,3
167,68,122,222,1.667,2.7,1.4,2.17,2.86,5.24,16,3,2,1,1,10,1,7,3
166,66,114,200,3.333,0.933,2.036,2.2,3.1,5.12,17,3,2,1,1,10,1,7,3
175,75,105,163,1.667,0.0,1.3,2.06,3.16,4.7,18,3,2,1,1,10,1,7,3
168,69,114,201,0.833,1.6,1.333,2.15,3.09,5.26,19,3,2,1,1,10,1,7,3
168,70,111,195,0.0,1.5,1.214,2.18,3.15,5.12,0,3,2,1,1,10,1,8,2
175,76,101,148,0.0,2.3,3.133,2.09,3.52,4.72,1,3,2,1,1,10,1,8,2
161,61,106,164,1.667,3.1,1.3,2.27,3.23,5.63,2,3,2,1,1,10,1,8,2
165,65,116,147,1.667,2.133,1.3,2.2,3.07,5.47,3,3,2,1,1,10,1,8,2
170,70,102,158,1.111,1.45,1.4,2.12,3.45,4.72,4,3,2,1,1,10,1,8,2
174,74,134,231,1.667,1.5,2.8,2.05,2.53,4.74,5,3,2,1,1,10,1,8,2
169,70,134,230,1.5,2.0,1.767,2.16,2.62,4.99,6,3,2,1,1,10,1,8,2
164,65,89,152,1.667,1.5,1.5,2.18,3.88,5.36,7,3,2,1,1,10,1,8,2
167,68,91,174,0.833,1.8,3.667,2.19,3.86,5.21,8,3,2,1,1,10,1,8,2
160,60,91,150,1.667,0.0,1.089,2.28,3.87,5.9,9,3,2,1,1,10,1,8,2
164,65,78,152,1.667,1.467,1.733,2.21,4.56,5.34,10,3,2,1,1,10,1,8,2
169,70,90,175,1.111,4.2,1.3,2.16,3.74,4.96,11,3,2,1,1,10,1,8,2
156,56,104,148,1.667,0.96,2.6,2.35,3.4,6.33,12,3,2,1,1,10,1,8,2
180,80,122,153,3.333,0.0,1.4,2.03,2.79,4.24,13,3,2,1,1,10,1,8,2
169,69,113,183,1.667,1.5,1.571,2.15,3.0,5.15,14,3,2,1,1,10,1,8,2
162,62,110,194,1.667,4.4,3.267,2.25,3.2,5.66,15,3,2,1,1,10,1,8,2
159,59,92,158,0.833,1.75,2.0,2.3,3.87,5.86,16,3,2,1,1,10,1,8,2
155,56,82,152,1.5,1.667,2.067,2.36,4.21,6.47,17,3,2,1,1,10,1,8,2
161,61,123,235,0.833,0.0,1.244,2.21,2.8,5.72,18,3,2,1,1,10,1,8,2
156,58,95,181,1.667,1.7,2.867,2.32,3.57,6.18,19,3,2,1,1,10,1,8,2
167,67,112,195,1.667,1.85,0.933,2.15,3.08,5.2,0,3,2,1,1,10,1,8,3
173,73,140,191,1.667,1.25,3.267,2.09,2.5,4.62,1,3,2,1,1,10,1,8,3
162,63,95,152,3.0,2.222,3.333,2.2,3.59,5.76,2,3,2,1,1,10,1,8,3
156,56,95,170,1.667,2.3,2.667,2.25,3.54,6.02,3,3,2,1,1,10,1,8,3
159,59,112,166,0.833,1.5,2.6,2.28,2.99,6.07,4,3,2,1,1,10,1,8,3
165,65,120,173,0.0,1.7,0.889,2.22,2.92,5.52,5,3,2,1,1,10,1,8,3
164,65,91,138,0.0,1.667,2.238,2.21,3.86,5.44,6,3,2,1,1,10,1,8,3
158,58,98,157,3.333,3.8,1.3,2.26,3.4,5.93,7,3,2,1,1,10,1,8,3
174,74,97,185,1.667,2.4,1.633,2.07,3.48,4.7,8,3,2,1,1,10,1,8,3
172,73,113,184,1.111,1.8,1.356,2.1,2.97,4.81,9,3,2,1,1,10,1,8,3
165,66,121,208,1.667,2.4,3.923,2.21,2.94,5.31,10,3,2,1,1,10,1,8,3
162,64,102,193,3.333,0.0,2.067,2.24,3.47,5.54,11,3,2,1,1,10,1,8,3
163,63,100,224,1.111,1.8,1.222,2.23,3.53,5.65,12,3,2,1,1,10,1,8,3
159,59,111,183,1.667,2.1,1.367,2.24,3.1,5.74,13,3,2,1,1,10,1,8,3
177,78,111,187,0.833,2.4,3.467,2.06,3.17,4.56,14,3,2,1,1,10,1,8,3
162,62,109,163,0.833,0.0,1.033,2.19,3.13,5.48,15,3,2,1,1,10,1,8,3
163,63,141,255,1.667,1.8,3.2,2.23,2.46,5.47,16,3,2,1,1,10,1,8,3
167,67,86,135,0.667,2.1,1.233,2.18,4.15,5.32,17,3,2,1,1,10,1,8,3
167,68,102,160,1.667,1.467,1.089,2.11,3.33,5.33,18,3,2,1,1,10,1,8,3
164,65,112,210,3.333,2.133,2.286,2.23,3.05,5.42,19,3,2,1,1,10,1,8,3
159,59,84,133,0.833,1.8,2.1,2.28,4.12,6.05,0,3,2,1,1,10,2,6,2
167,67,105,173,1.111,0.0,2.667,2.18,3.32,5.26,1,3,2,1,1,10,2,6,2
166,66,94,169,3.333,1.6,1.289,2.09,3.58,5.12,2,3,2,1,1,10,2,6,2
161,61,99,151,3.333,2.1,1.867,2.27,3.57,5.68,3,3,2,1,1,10,2,6,2
165,65,94,153,1.111,2.0,1.679,2.21,3.67,5.38,4,3,2,1,1,10,2,6,2
171,72,104,143,1.111,1.45,1.733,2.13,3.32,4.94,5,3,2,1,1,10,2,6,2
167,67,107,150,1.111,1.7,1.381,2.19,3.18,5.29,6,3,2,1,1,10,2,6,2
167,67,108,170,1.667,3.4,1.433,2.19,3.27,5.21,7,3,2,1,1,10,2,6,2
161,61,82,142,1.667,0.0,1.7,2.27,3.93,5.75,8,3,2,1,1,10,2,6,2
159,59,89,152,3.333,3.6,0.889,2.2,3.68,5.74,9,3,2,1,1,10,2,6,2
174,74,111,162,1.667,2.5,3.133,2.09,3.15,4.88,10,3,2,1,1,10,2,6,2
178,78,132,195,3.333,1.65,1.467,2.06,2.67,4.45,11,3,2,1,1,10,2,6,2
165,66,120,187,1.667,2.9,1.393,2.16,2.93,5.48,12,3,2,1,1,10,2,6,2
164,64,94,123,1.667,3.6,1.367,2.2,3.8,5.43,13,3,2,1,1,10,2,6,2
161,62,116,172,3.333,2.7,1.233,2.21,2.95,5.75,14,3,2,1,1,10,2,6,2
172,72,106,188,1.667,2.1,1.8,2.12,3.34,4.61,15,3,2,1,1,10,2,6,2
166,66,103,163,1.111,3.1,1.467,2.16,3.12,5.25,16,3,2,1,1,10,2,6,2
168,69,106,156,1.667,0.0,1.567,2.17,3.23,5.09,17,3,2,1,1,10,2,6,2
176,76,103,196,0.833,2.2,1.289,2.07,3.42,4.67,18,3,2,1,1,10,2,6,2
175,77,96,125,3.333,0.0,1.486,2.09,3.72,4.67,19,3,2,1,1,10,2,6,2
155,55,105,157,3.333,2.1,1.133,2.32,3.24,6.35,0,3,2,1,1,10,2,6,3
173,73,96,155,1.667,1.7,1.867,2.09,3.68,4.65,1,3,2,1,1,10,2,6,3
175,75,123,180,1.111,1.5,1.75,2.07,2.85,4.78,2,3,2,1,1,10,2,6,3
166,66,105,164,1.667,2.0,1.767,2.2,3.37,5.32,3,3,2,1,1,10,2,6,3
161,61,95,156,1.111,1.32,1.6,2.26,3.59,5.73,4,3,2,1,1,10,2,6,3
164,64,112,171,3.333,3.4,2.033,2.2,3.12,5.48,5,3,2,1,1,10,2,6,3
158,58,111,172,1.667,2.333,2.8,2.22,3.01,5.84,6,3,2,1,1,10,2,6,3
159,59,90,165,3.333,1.7,1.2,2.3,3.91,6.07,7,3,2,1,1,10,2,6,3
161,62,103,165,1.667,5.8,2.333,2.25,3.44,5.79,8,3,2,1,1,10,2,6,3
176,76,104,191,1.667,1.2,2.067,2.04,3.33,4.49,9,3,2,1,1,10,2,6,3
176,76,100,203,1.111,1.9,1.967,2.04,3.41,4.65,10,3,2,1,1,10,2,6,3
161,61,83,160,1.667,2.6,1.156,2.27,4.27,5.9,11,3,2,1,1,10,2,6,3
165,65,104,163,3.333,3.1,1.4,2.2,3.4,5.45,12,3,2,1,1,10,2,6,3
167,67,102,197,1.111,2.0,1.6,2.1,3.2,5.09,13,3,2,1,1,10,2,6,3
166,67,100,180,1.667,4.0,1.893,2.21,3.42,5.32,14,3,2,1,1,10,2,6,3
162,62,114,161,3.333,1.333,2.467,2.22,3.0,5.72,15,3,2,1,1,10,2,6,3
168,68,119,156,0.0,2.4,3.267,2.16,2.89,5.12,16,3,2,1,1,10,2,6,3
172,72,130,227,1.111,1.533,1.8,2.13,2.57,4.85,17,3,2,1,1,10,2,6,3
162,62,94,170,0.0,2.7,1.5,2.26,3.67,5.77,18,3,2,1,1,10,2,6,3
170,70,113,173,0.0,1.05,1.333,2.15,3.01,5.16,19,3,2,1,1,10,2,6,3
166,70,103,201,1.667,1.6,1.333,2.2,3.3,5.12,0,3,2,1,1,10,2,7,2
174,79,124,166,3.333,1.467,1.5,2.09,2.85,4.58,1,3,2,1,1,10,2,7,2
178,78,95,112,1.111,2.4,1.311,2.06,3.66,4.62,2,3,2,1,1,10,2,7,2
170,71,107,166,1.667,1.9,2.286,2.14,3.3,5.09,3,3,2,1,1,10,2,7,2
173,73,131,232,1.667,2.2,3.4,2.12,2.68,4.92,4,3,2,1,1,10,2,7,2
177,77,124,219,0.833,0.0,1.867,2.06,2.66,4.67,5,3,2,1,1,10,2,7,2
161,61,98,152,1.667,2.1,1.667,2.22,3.52,5.68,6,3,2,1,1,10,2,7,2
170,71,103,146,3.333,3.9,1.333,2.12,3.36,4.97,7,3,2,1,1,10,2,7,2
172,72,111,159,1.111,2.467,1.367,2.13,3.19,4.93,8,3,2,1,1,10,2,7,2
183,84,92,134,1.667,1.5,1.867,1.98,3.75,4.12,9,3,2,1,1,10,2,7,2
165,65,96,142,1.111,5.4,1.367,2.1,3.51,5.27,10,3,2,1,1,10,2,7,2
157,58,109,185,1.111,3.5,2.133,2.33,3.18,5.84,11,3,2,1,1,10,2,7,2
179,79,134,173,0.0,3.8,1.933,2.03,2.57,4.49,12,3,2,1,1,10,2,7,2
170,70,119,133,1.667,1.733,3.267,2.13,2.91,4.96,13,3,2,1,1,10,2,7,2
164,64,99,147,1.111,0.0,3.533,2.23,3.49,5.65,14,3,2,1,1,10,2,7,2
178,78,123,183,1.667,1.9,1.633,2.05,2.89,4.6,15,3,2,1,1,10,2,7,2
169,69,116,194,1.667,2.4,3.733,2.09,2.94,4.99,16,3,2,1,1,10,2,7,2
167,67,109,204,1.667,2.9,1.033,2.13,3.22,4.95,17,3,2,1,1,10,2,7,2
158,58,116,180,1.667,5.6,3.2,2.29,3.0,6.09,18,3,2,1,1,10,2,7,2
176,76,115,155,1.111,1.45,2.267,2.07,3.0,4.73,19,3,2,1,1,10,2,7,2
159,59,120,198,1.111,3.0,1.467,2.3,2.87,6.14,0,3,2,1,1,10,2,7,3
155,55,99,161,1.667,3.5,1.433,2.29,3.4,6.41,1,3,2,1,1,10,2,7,3
152,52,82,129,1.667,2.8,1.7,2.4,4.14,6.94,2,3,2,1,1,10,2,7,3
183,83,108,188,1.667,1.6,1.8,2.0,3.22,4.3,3,3,2,1,1,10,2,7,3
160,61,99,134,1.5,2.111,1.933,2.29,3.54,5.83,4,3,2,1,1,10,2,7,3
162,63,118,179,1.667,1.8,1.357,2.17,2.84,5.68,5,3,2,1,1,10,2,7,3
179,79,116,207,1.667,0.0,1.422,2.02,3.0,4.46,6,3,2,1,1,10,2,7,3
171,73,129,214,3.333,1.28,2.333,2.11,2.72,4.88,7,3,2,1,1,10,2,7,3
170,70,101,142,1.667,3.1,1.233,2.11,3.46,4.99,8,3,2,1,1,10,2,7,3
162,62,101,180,1.111,3.6,1.3,2.24,3.47,5.39,9,3,2,1,1,10,2,7,3
160,60,94,165,1.111,1.8,2.033,2.25,3.76,5.95,10,3,2,1,1,10,2,7,3
178,78,119,163,3.333,1.8,2.067,2.05,2.86,4.48,11,3,2,1,1,10,2,7,3
159,59,115,194,1.667,3.4,1.467,2.25,2.97,5.91,12,3,2,1,1,10,2,7,3
188,88,105,177,1.111,2.7,1.2,1.95,3.38,4.09,13,3,2,1,1,10,2,7,3
162,62,108,173,1.667,1.667,3.267,2.22,3.07,5.67,14,3,2,1,1,10,2,7,3
171,71,116,166,0.667,2.2,1.633,2.14,2.92,5.11,15,3,2,1,1,10,2,7,3
175,75,130,218,3.333,1.4,3.533,2.09,2.54,4.58,16,3,2,1,1,10,2,7,3
162,62,106,172,3.333,2.2,1.767,2.26,3.29,5.7,17,3,2,1,1,10,2,7,3
163,64,106,163,0.833,1.233,2.0,2.19,3.36,5.62,18,3,2,1,1,10,2,7,3
174,75,106,181,1.667,3.4,1.044,2.08,3.29,4.66,19,3,2,1,1,10,2,7,3
168,68,141,267,1.111,1.65,2.4,2.16,2.44,5.22,0,3,2,1,1,10,2,8,2
165,66,108,209,1.111,2.9,1.464,2.22,3.19,5.46,1,3,2,1,1,10,2,8,2
166,67,97,204,1.667,1.867,1.633,2.21,3.65,5.14,2,3,2,1,1,10,2,8,2
162,62,124,195,0.833,2.7,1.167,2.26,2.86,5.82,3,3,2,1,1,10,2,8,2
183,83,115,167,1.667,2.3,1.156,1.99,2.96,4.18,4,3,2,1,1,10,2,8,2
179,79,120,194,1.667,2.9,1.4,2.04,2.9,4.49,5,3,2,1,1,10,2,8,2
160,60,129,195,1.667,2.6,1.267,2.26,2.66,5.9,6,3,2,1,1,10,2,8,2
159,59,99,158,1.111,0.0,3.533,2.27,3.51,5.97,7,3,2,1,1,10,2,8,2
156,56,85,151,1.111,3.6,2.0,2.29,3.69,6.18,8,3,2,1,1,10,2,8,2
155,55,90,163,1.111,1.4,1.8,2.34,3.8,6.41,9,3,2,1,1,10,2,8,2
177,77,107,193,3.333,0.0,3.6,2.05,3.17,4.47,10,3,2,1,1,10,2,8,2
160,60,91,145,1.5,0.0,1.8,2.29,3.92,5.85,11,3,2,1,1,10,2,8,2
175,75,103,164,3.333,3.8,1.933,2.05,3.34,4.66,12,3,2,1,1,10,2,8,2
161,61,97,127,3.333,1.3,1.567,2.24,3.57,5.4,13,3,2,1,1,10,2,8,2
169,69,119,202,1.667,2.1,1.6,2.17,2.84,5.22,14,3,2,1,1,10,2,8,2
177,77,123,145,1.667,1.933,1.667,2.06,2.81,4.54,15,3,2,1,1,10,2,8,2
174,74,115,166,1.111,1.4,1.833,2.1,2.93,4.67,16,3,2,1,1,10,2,8,2
174,75,105,190,1.667,2.3,3.071,2.09,3.33,4.61,17,3,2,1,1,10,2,8,2
165,65,103,152,0.833,2.4,1.767,2.17,3.4,5.47,18,3,2,1,1,10,2,8,2
158,59,89,183,1.667,2.3,1.289,2.31,3.8,5.97,19,3,2,1,1,10,2,8,2
155,55,91,179,0.833,0.0,1.967,2.16,3.5,5.63,0,3,2,1,1,10,2,8,3
169,69,120,152,3.333,1.9,2.867,2.12,2.91,5.0,1,3,2,1,1,10,2,8,3
166,66,97,154,3.0,1.889,3.8,2.2,3.42,5.38,2,3,2,1,1,10,2,8,3
166,66,94,181,1.667,2.0,2.0,2.16,3.7,5.35,3,3,2,1,1,10,2,8,3
177,77,102,159,1.667,3.7,1.233,2.03,3.41,4.61,4,3,2,1,1,10,2,8,3
160,60,98,160,1.111,1.067,1.867,2.28,3.6,5.93,5,3,2,1,1,10,2,8,3
159,59,113,138,1.667,1.16,1.4,2.3,3.12,5.86,6,3,2,1,1,10,2,8,3
180,81,115,159,1.667,1.8,1.533,2.02,3.01,4.26,7,3,2,1,1,10,2,8,3
169,69,104,134,3.333,1.467,0.0,2.16,3.28,5.24,8,3,2,1,1,10,2,8,3
166,66,86,175,1.667,2.2,1.267,2.19,3.88,5.26,9,3,2,1,1,10,2,8,3
173,75,130,199,1.111,0.0,1.333,2.06,2.66,4.8,10,3,2,1,1,10,2,8,3
169,69,103,200,1.111,1.333,1.2,2.16,3.39,5.15,11,3,2,1,1,10,2,8,3
155,55,96,170,1.111,1.933,1.433,2.31,3.63,6.37,12,3,2,1,1,10,2,8,3
171,72,100,131,3.333,2.0,1.133,2.08,3.53,4.99,13,3,2,1,1,10,2,8,3
169,69,101,170,1.667,1.0,1.244,2.14,3.28,5.19,14,3,2,1,1,10,2,8,3
165,65,93,175,3.333,1.4,2.067,2.18,3.73,5.36,15,3,2,1,1,10,2,8,3
173,73,99,151,1.111,0.0,1.767,2.12,3.6,4.86,16,3,2,1,1,10,2,8,3
169,70,104,153,3.333,1.55,1.567,2.17,3.35,5.17,17,3,2,1,1,10,2,8,3
164,64,116,186,1.111,0.0,2.133,2.2,2.97,5.52,18,3,2,1,1,10,2,8,3
164,64,106,114,3.333,2.067,1.433,2.23,3.3,5.19,19,3,2,1,1,10,2,8,3
155,55,102,131,3.333,1.05,1.833,2.34,3.39,6.41,0,3,2,1,1,20,1,6,2
158,58,91,129,1.111,0.0,2.533,2.29,3.79,5.82,1,3,2,1,1,20,1,6,2
164,64,93,136,0.833,0.933,1.933,2.23,3.77,5.49,2,3,2,1,1,20,1,6,2
160,60,76,125,3.333,1.467,1.667,2.27,4.67,5.75,3,3,2,1,1,20,1,6,2
176,77,111,208,0.0,3.0,1.333,2.06,3.15,4.59,4,3,2,1,1,20,1,6,2
157,57,102,200,1.667,4.2,1.533,2.32,3.41,5.98,5,3,2,1,1,20,1,6,2
186,86,93,149,1.667,3.0,1.267,1.96,3.88,4.04,6,3,2,1,1,20,1,6,2
172,72,79,133,1.667,2.7,1.7,2.12,4.19,4.85,7,3,2,1,1,20,1,6,2
156,56,95,177,1.667,2.1,1.433,2.28,3.46,5.91,8,3,2,1,1,20,1,6,2
157,57,73,152,3.333,2.0,1.9,2.17,4.54,5.68,9,3,2,1,1,20,1,6,2
173,73,99,114,3.333,1.75,2.467,2.11,3.5,4.61,10,3,2,1,1,20,1,6,2
178,78,115,175,1.111,2.4,1.536,2.03,3.02,4.43,11,3,2,1,1,20,1,6,2
164,66,90,175,1.111,0.0,1.657,2.23,3.91,5.42,12,3,2,1,1,20,1,6,2
161,62,99,163,1.111,2.0,2.4,2.24,3.49,5.7,13,3,2,1,1,20,1,6,2
160,61,90,143,3.333,1.4,1.667,2.24,3.9,5.8,14,3,2,1,1,20,1,6,2
161,61,119,156,3.333,1.7,2.133,2.27,2.94,5.35,15,3,2,1,1,20,1,6,2
177,77,110,155,1.111,1.533,1.767,2.07,3.17,4.67,16,3,2,1,1,20,1,6,2
163,63,95,205,1.667,1.1,1.433,2.13,3.49,5.29,17,3,2,1,1,20,1,6,2
163,63,88,153,1.667,1.7,1.867,2.21,3.95,5.39,18,3,2,1,1,20,1,6,2
161,62,100,161,0.0,2.0,3.333,2.27,3.38,5.64,19,3,2,1,1,20,1,6,2
173,74,99,158,0.0,3.7,2.667,2.09,3.55,4.85,0,3,2,1,1,20,1,6,3
160,62,96,130,3.0,2.5,2.067,2.25,3.68,5.43,1,3,2,1,1,20,1,6,3
162,62,109,200,3.333,2.2,1.833,2.19,3.09,5.48,2,3,2,1,1,20,1,6,3
169,69,107,154,3.333,2.6,3.857,2.14,3.25,5.01,3,3,2,1,1,20,1,6,3
155,56,102,179,1.111,1.6,1.2,2.36,3.21,6.22,4,3,2,1,1,20,1,6,3
168,68,86,151,1.667,2.7,1.7,2.14,4.06,5.16,5,3,2,1,1,20,1,6,3
160,60,85,148,0.833,1.7,1.8,2.29,4.12,5.8,6,3,2,1,1,20,1,6,3
173,74,95,152,1.5,2.444,2.533,2.12,3.59,4.75,7,3,2,1,1,20,1,6,3
163,63,84,152,1.667,2.1,1.967,2.24,3.63,5.53,8,3,2,1,1,20,1,6,3
172,73,107,169,3.333,2.2,1.833,2.07,3.2,4.78,9,3,2,1,1,20,1,6,3
168,68,79,152,1.667,0.0,1.2,2.17,4.37,5.15,10,3,2,1,1,20,1,6,3
172,73,91,149,3.333,3.2,1.433,2.12,3.88,4.83,11,3,2,1,1,20,1,6,3
161,62,112,166,1.667,1.8,1.393,2.25,3.06,5.7,12,3,2,1,1,20,1,6,3
